freq,c_resid,terrtypo,nace_r2,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,DOM,DEG2,I551,PCH_PRE,DK	: 	3.52 	7.75 	5.55 	2.56 	2.42 	2.31 	0.87 	-22.18 	17.31 	23.53 	-2.72 	0.3 
A,DOM,DEG2,I551,PCH_PRE,EA	: 	-0.55 	0.66 	3.97 	2.36 	9.73 e	2.09 e	2.18 	-39.69 	26.94 	23.72 	5.77 	3.03 
A,DOM,DEG2,I551,PCH_PRE,EA19	: 	: 	: 	: 	2.36 	9.73 e	2.09 e	2.18 	-39.69 	26.94 	23.72 	: 	: 
A,DOM,DEG2,I551,PCH_PRE,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.11 	3.03 
A,DOM,DEG2,I551,PCH_PRE,EE	: 	9.08 	-3.95 	20.19 	5.87 	15.37 	-18.89 	6.69 	2.35 	9.89 	6.67 	-6.45 	-2.59 
A,DOM,DEG2,I551,PCH_PRE,EL	: 	3.24 	-1.2 	-2.48 	5.99 	1.09 	29.71 	8.81 	-48.57 	21.07 	41.9 	12.84 	5.03 
A,DOM,DEG2,I551,PCH_PRE,ES	: 	-1.52 	0.87 	6.28 	5.42 	19.35 	1.13 	4.19 	-57.34 	82.83 	27.63 	-0.52 	2.16 
A,DOM,DEG2,I551,PCH_PRE,EU25	: 	: 	: 	2.18 	4.27 	9.76 e	2.47 e	2.48 e	: 	: 	: 	: 	: 
A,DOM,DEG2,I551,PCH_PRE,EU27_2007	: 	0.6 	0.3 	2.45 	4.44 	9.74 e	2.33 e	2.55 e	: 	: 	: 	: 	: 
A,DOM,DEG2,I551,PCH_PRE,EU27_2020	: 	0.49 	1.15 	4.28 	3.25 	9.89 e	2.46 e	2.49 	-38.84 	26.92 	24.07 	4.98 	3.41 
A,DOM,DEG2,I551,PCH_PRE,EU28	: 	0.6 	0.29 	2.46 	4.43 	9.72 e	2.43 e	2.57 e	: 	: 	: 	: 	: 
A,DOM,DEG2,I551,PCH_PRE,FI	: 	1.26 	-3.51 	4.28 	2.83 	0.69 	3.22 	2 	-16.54 	28.79 	13.69 	0.89 	5.41 
A,DOM,DEG2,I551,PCH_PRE,FR	: 	1.01 	-2.66 	2.78 	1.79 	1.88 	0.55 	2.81 	-38.37 e	27.48 e	28.83 	23.41 	-1.52 
A,DOM,DEG2,I551,PCH_PRE,HR	: 	-6.44 	: @C	8.64 	1.64 	4.07 	38.25 	9.92 	-43.87 	79.07 	20.15 	5.95 	-1.79 
A,DOM,DEG2,I551,PCH_PRE,HU	: 	145.09 	11.53 	6.62 	5.13 	23.29 	4.61 	1.6 	-41.36 	5.13 	40.47 	-3.4 	19.35 
A,DOM,DEG2,I551,PCH_PRE,IE	: 	: 	0.87 e	8.16 e	-17.75 e	: 	: 	11.16 e	-57.09 e	-19.72 e	-47.99 	73.5 	9.27 
A,DOM,DEG2,I551,PCH_PRE,IS	: 	-8.58 	31.41 	17.81 	10.2 	: 	: 	: 	19.49 	60.59 	-12.81 	6.49 	: 
A,DOM,DEG2,I551,PCH_PRE,IT	: 	-4.94 	-0.62 	3.37 	1.09 	21.82 	0.11 	-1.05 	-37.16 	36.07 	11.81 	0.64 	-0.7 
A,DOM,DEG2,I551,PCH_PRE,LI	: 	-52.55 	-41.23 	14.72 	59.09 	18.21 	-49.24 	89.54 	14.53 	86.06 	-41.56 	31.41 	34.11 
A,DOM,DEG2,I551,PCH_PRE,LT	: 	-3.22 	5.97 	12.56 	1.79 	14.85 	6.92 	14.64 	-13.56 	0.53 	30.66 	-12.32 	26.56 
A,DOM,DEG2,I551,PCH_PRE,LU	: 	16.2 	-6 	184.19 	6.1 	12.32 	-17.86 	0.1 	-16.73 	52.61 	2.11 	-13.08 	6.27 
A,DOM,DEG2,I551,PCH_PRE,LV	: 	7.23 	21.83 	1.26 	0.23 	3.04 	5.4 	1.57 	-12.72 	17.41 	21.38 	-16.97 	-0.82 
A,DOM,DEG2,I551,PCH_PRE,MK	: 	: 	: 	: 	: 	: 	17.26 	6.24 	37.05 	-14.81 	-10.6 	-1.29 	-5.71 
A,DOM,DEG2,I551,PCH_PRE,MT	: 	-7.86 	10.7 	-1.47 	-4.36 	52.22 	5.98 	17.07 	27.07 	9.05 	-14.41 	-6.63 	11.52 
A,DOM,DEG2,I551,PCH_PRE,NL	: 	5.41 	-1.61 	2.79 	4.14 	2.01 	3.81 	2.01 	-16.57 	14.12 	25.19 	-6.11 	2.66 
A,DOM,DEG2,I551,PCH_PRE,NO	: 	-0.22 	0.44 	4.54 	1.71 	: 	: 	: 	: 	15.48 	23.4 	6.2 	-33.51 
A,DOM,DEG2,I551,PCH_PRE,PL	: 	2.16 	7.66 	7.93 	16.83 	14.36 	9.84 	6.64 	-33.47 	18.65 	42.3 	-0.61 	4.95 
A,DOM,DEG2,I551,PCH_PRE,PT	: 	-1.44 	21.01 	3.51 	1.38 	3.55 	7.7 	4.74 	-31.9 	33.57 	11.13 	-1.19 	2.55 
A,DOM,DEG2,I551,PCH_PRE,RO	: 	-4.99 	3.57 	13.49 	8.98 	3.82 	6.13 	5.62 	-42.69 	54.33 	4.19 	8.09 	3.17 
A,DOM,DEG2,I551,PCH_PRE,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	15.29 	-22.9 e	-12.23 e	6.56 
A,DOM,DEG2,I551,PCH_PRE,SE	: 	4.33 	3.56 	5.29 	4.07 	3.56 	2.85 	3.22 	-30.73 	27.51 	21.02 	0.4 	-1.06 
A,DOM,DEG2,I551,PCH_PRE,SI	: 	1.39 	1.35 	17.15 	1.45 	6.22 	: 	: 	25.49 	21.03 	-17.13 	-17.46 	-3.85 
A,DOM,DEG2,I551,PCH_PRE,SK	: 	6.47 	1.95 	12.97 	10.65 	13.14 	4.18 	19.52 	-33.68 	3.35 	26.39 	4.09 	1.14 
A,DOM,DEG2,I551,PCH_PRE,UK	: 	0.81 	-8.18 	-17.38 	20.74 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,DEG2,I551-I553,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	753683 
A,DOM,DEG2,I551-I553,NR,AL0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	753683 
A,DOM,DEG2,I551-I553,NR,AL01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27674 
A,DOM,DEG2,I551-I553,NR,AL02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	211518 
A,DOM,DEG2,I551-I553,NR,AL03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	514491 
A,DOM,DEG2,I551-I553,NR,AT	6692734 	6679539 	6783091 	6926731 	7102642 	7281166 	7489317 	7749606 	5276185 	5848190 	7595826 	7410055 	8651134 
A,DOM,DEG2,I551-I553,NR,AT1	1761513 	1736394 	1826195 	1754582 	1753974 	1785556 	1827385 	1945846 	1200331 	1472358 	1859736 	1901977 	1934666 
A,DOM,DEG2,I551-I553,NR,AT11	119959 	136815 	135535 	137569 	138328 	129414 	132877 	141067 	68947 	71153 	80846 	87581 	115054 
A,DOM,DEG2,I551-I553,NR,AT12	1641554 	1599579 	1690660 	1617013 	1615646 	1656142 	1694508 	1804779 	1131384 	1401205 	1778890 	1814396 	1819612 
A,DOM,DEG2,I551-I553,NR,AT13	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,DEG2,I551-I553,NR,AT2	1421875 	1445087 	1462000 	1517765 	1569480 	1621868 	1683987 	1783011 	1443492 	1568999 	1866333 	1888869 	1914054 
A,DOM,DEG2,I551-I553,NR,AT21	503730 	486448 	463076 	457271 	473491 	479854 	468321 	539667 	576318 	573299 	687763 	682352 	636321 
A,DOM,DEG2,I551-I553,NR,AT22	918145 	958639 	998924 	1060494 	1095989 	1142014 	1215666 	1243344 	867174 	995700 	1178570 	1206517 	1277733 
A,DOM,DEG2,I551-I553,NR,AT3	3509346 	3498058 	3494896 	3654384 	3779188 	3873742 	3977945 	4020749 	2632362 	2806833 	3869757 	3619209 	4802414 
A,DOM,DEG2,I551-I553,NR,AT31	1094238 	1057421 	1069179 	1132294 	1203460 	1245100 	1300445 	1343899 	925581 	1052798 	1322886 	1382695 	1694089 
A,DOM,DEG2,I551-I553,NR,AT32	1302521 	1316728 	1338014 	1378832 	1396137 	1434560 	1452294 	1490765 	701975 	766965 	1241684 	856177 	1574134 
A,DOM,DEG2,I551-I553,NR,AT33	695185 	700512 	659493 	689036 	715158 	733590 	744051 	727876 	688411 	647056 	846655 	880380 	1119307 
A,DOM,DEG2,I551-I553,NR,AT34	417402 	423397 	428210 	454222 	464433 	460492 	481155 	458209 	316395 	340014 	458532 	499957 	414884 
A,DOM,DEG2,I551-I553,NR,BE	7447211 	7388700 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,DOM,DEG2,I551-I553,NR,BE1	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,DEG2,I551-I553,NR,BE10	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,DEG2,I551-I553,NR,BE2	6678066 	6650291 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,DOM,DEG2,I551-I553,NR,BE21	1033254 	1015700 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,DOM,DEG2,I551-I553,NR,BE22	1405473 	1365817 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,DOM,DEG2,I551-I553,NR,BE23	480061 	517820 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,DOM,DEG2,I551-I553,NR,BE24	606241 	614389 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,DOM,DEG2,I551-I553,NR,BE25	3153037 	3136565 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,DOM,DEG2,I551-I553,NR,BE3	769145 	738409 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,DOM,DEG2,I551-I553,NR,BE31	165974 	170519 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,DOM,DEG2,I551-I553,NR,BE32	126487 	127279 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,DOM,DEG2,I551-I553,NR,BE33	373265 	335044 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,DOM,DEG2,I551-I553,NR,BE34	93570 	95132 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,DOM,DEG2,I551-I553,NR,BE35	9849 	10435 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,DOM,DEG2,I551-I553,NR,BG	2126133 	2329819 	2429817 	2608283 	2957370 	3553848 	2935259 	3014249 	2331301 	3265336 	3754031 	4218254 	5220997 
A,DOM,DEG2,I551-I553,NR,BG3	932465 	1022087 	1041447 	1123848 	1215761 	1259598 	1151561 	1209666 	1201026 	1644848 	1713568 	1806749 	2041056 
A,DOM,DEG2,I551-I553,NR,BG31	148019 	171109 	153110 	141544 	144826 	155116 	140495 	149173 	135081 	161048 	182926 	179284 	375362 
A,DOM,DEG2,I551-I553,NR,BG32	238041 	207047 	221390 	222377 	261460 	249893 	261052 	278663 	174442 	206250 	263284 	263622 	271439 
A,DOM,DEG2,I551-I553,NR,BG33	81148 	89418 	107369 	104366 	107093 	119687 	119114 	123347 	143800 	156126 	118259 	122667 	135709 
A,DOM,DEG2,I551-I553,NR,BG34	465257 	554513 	559578 	655561 	702382 	734902 	630900 	658483 	747703 	1121424 	1149099 	1241176 	1258546 
A,DOM,DEG2,I551-I553,NR,BG4	1193668 	1307732 	1388370 	1484435 	1741609 	2294250 	1783698 	1804583 	1130275 	1620488 	2040463 	2411505 	3179941 
A,DOM,DEG2,I551-I553,NR,BG41	633629 	678742 	718888 	762261 	895689 	940495 	910293 	915311 	514860 	839718 	947879 	1077511 	1208557 
A,DOM,DEG2,I551-I553,NR,BG42	560039 	628990 	669482 	722174 	845920 	1353755 	873405 	889272 	615415 	780770 	1092584 	1333994 	1971384 
A,DOM,DEG2,I551-I553,NR,CH	: 	: 	: 	: 	9408717 	9850596 	11070651 	11411495 	: 	14195249 	13029083 	12609001 	12376619 
A,DOM,DEG2,I551-I553,NR,CH0	: 	: 	: 	: 	9408717 	9850596 	11070651 	11411495 	: 	14195249 	13029083 	12609001 	12376619 
A,DOM,DEG2,I551-I553,NR,CH01	: 	: 	: 	: 	2285716 	2338822 	3072158 	3078811 	: 	3707881 	3395503 	3200530 	3107301 
A,DOM,DEG2,I551-I553,NR,CH02	: 	: 	: 	: 	1360293 	1443518 	1552924 	1620929 	: 	2171022 	2041120 	2006413 	1895467 
A,DOM,DEG2,I551-I553,NR,CH03	: 	: 	: 	: 	515203 	526179 	540429 	547603 	: 	493997 	592276 	620186 	643651 
A,DOM,DEG2,I551-I553,NR,CH04	: 	: 	: 	: 	401180 	436168 	463624 	523746 	: 	345758 	466172 	530459 	538889 
A,DOM,DEG2,I551-I553,NR,CH05	: 	: 	: 	: 	2210711 	2265258 	2513763 	2579301 	: 	2845295 	2889233 	2800504 	2722951 
A,DOM,DEG2,I551-I553,NR,CH06	: 	: 	: 	: 	954990 	977610 	1234298 	1249196 	: 	1532950 	1349297 	1362993 	1447894 
A,DOM,DEG2,I551-I553,NR,CH07	: 	: 	: 	: 	1680623 	1863041 	1693455 	1811910 	: 	3098345 	2295482 	2087916 	2020467 
A,DOM,DEG2,I551-I553,NR,CY	529259 	426415 	372434 	375436 	362159 	335475 	363757 	409811 	477675 	783741 	522724 	486830 	500759 
A,DOM,DEG2,I551-I553,NR,CY0	529259 	426415 	372434 	375436 	362159 	335475 	363757 	409811 	477675 	783741 	522724 	486830 	500759 
A,DOM,DEG2,I551-I553,NR,CY00	529259 	426415 	372434 	375436 	362159 	335475 	363757 	409811 	477675 	783741 	522724 	486830 	500759 
A,DOM,DEG2,I551-I553,NR,CZ	4608889 	4430742 	4478800 	5064661 	5438797 	6002386 	6308936 	6501254 	5036127 	5528483 	6779576 	8288777 	8175228 
A,DOM,DEG2,I551-I553,NR,CZ0	4608889 	4430742 	4478800 	5064661 	5438797 	6002386 	6308936 	6501254 	5036127 	5528483 	6779576 	8288777 	8175228 
A,DOM,DEG2,I551-I553,NR,CZ01	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,DEG2,I551-I553,NR,CZ02	655125 	640535 	609160 	677920 	724966 	829433 	876419 	897515 	609695 	663876 	886320 	1095366 	1023284 
A,DOM,DEG2,I551-I553,NR,CZ03	705500 	649694 	707692 	776737 	862934 	954020 	1023813 	1007731 	868915 	928202 	1077445 	1164601 	1171626 
A,DOM,DEG2,I551-I553,NR,CZ04	652685 	603307 	598520 	720575 	797110 	878322 	915405 	973667 	827446 	970091 	1128050 	1759535 	1756990 
A,DOM,DEG2,I551-I553,NR,CZ05	779269 	716419 	698048 	816091 	880475 	761708 	753941 	805370 	659643 	684547 	935595 	1163535 	1163431 
A,DOM,DEG2,I551-I553,NR,CZ06	731387 	705026 	711159 	747457 	819742 	967799 	988860 	1020765 	745736 	819589 	1024469 	916438 	1004062 
A,DOM,DEG2,I551-I553,NR,CZ07	666415 	703489 	744663 	864007 	900924 	1140761 	1198869 	1225106 	886961 	986497 	1144469 	1390640 	1283132 
A,DOM,DEG2,I551-I553,NR,CZ08	418508 	412272 	409558 	461874 	452646 	470343 	551629 	571100 	437731 	475681 	583228 	798662 	772703 
A,DOM,DEG2,I551-I553,NR,DE	91317879 	90857372 	: @C	95249619 	98675895 	101601244 	106403318 	110859651 	76462798 	78368931 	106228597 	110582024 	: @C
A,DOM,DEG2,I551-I553,NR,DE1	13877075 	13606457 	14073632 	14399365 	14912523 	15087760 	15705980 	16642374 	10516343 	11085774 	15442256 	16432859 	17836222 
A,DOM,DEG2,I551-I553,NR,DE11	3716845 	3722889 	3919183 	4020769 	4126554 	4239883 	4391254 	4443845 	2071421 	2164287 	3312630 	3656383 	3772597 
A,DOM,DEG2,I551-I553,NR,DE12	3616696 	3481168 	3602888 	3667783 	3750312 	3795344 	3863495 	3792704 	1867919 	1960091 	2914217 	3241312 	3287679 
A,DOM,DEG2,I551-I553,NR,DE13	3635011 	3573367 	3709327 	3854418 	4033758 	4045678 	4145220 	4305340 	3200285 	3465742 	4464679 	4638829 	5217906 
A,DOM,DEG2,I551-I553,NR,DE14	2908523 	2829033 	2842234 	2856395 	3001899 	3006855 	3306011 	4100485 	3376718 	3495654 	4750730 	4896335 	5558040 
A,DOM,DEG2,I551-I553,NR,DE2	21149347 	21123384 	21257612 	21997742 	22939809 	23545068 	24560137 	24794205 	16634799 	16704046 	23099226 	23978810 	26655961 
A,DOM,DEG2,I551-I553,NR,DE21	8757730 	8790495 	8922998 	9158470 	9566680 	9781840 	10230914 	10375137 	7337847 	7175808 	10114930 	10379398 	11644918 
A,DOM,DEG2,I551-I553,NR,DE22	2075523 	2121919 	2129368 	2107158 	2127647 	2159905 	2202594 	2197770 	1031725 	1039156 	1351254 	1477534 	1894628 
A,DOM,DEG2,I551-I553,NR,DE23	728982 	760943 	804030 	827748 	865842 	898813 	916776 	903896 	541339 	607558 	785928 	839651 	1003469 
A,DOM,DEG2,I551-I553,NR,DE24	1275241 	1202980 	1190251 	1238511 	1310432 	1285724 	1285762 	1326662 	612782 	713263 	993416 	1064520 	1319124 
A,DOM,DEG2,I551-I553,NR,DE25	1352853 	1331035 	1355337 	1401739 	1500273 	1552834 	1678380 	1676772 	1143887 	1244428 	1828762 	1977628 	1864494 
A,DOM,DEG2,I551-I553,NR,DE26	1553317 	1547963 	1601319 	1717971 	1703785 	1723253 	1789173 	1771609 	1136672 	1260666 	1681562 	1816237 	1886699 
A,DOM,DEG2,I551-I553,NR,DE27	5405701 	5368049 	5254309 	5546145 	5865150 	6142699 	6456538 	6542359 	4830547 	4663167 	6343374 	6423842 	7042629 
A,DOM,DEG2,I551-I553,NR,DE3	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,DEG2,I551-I553,NR,DE30	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,DEG2,I551-I553,NR,DE4	2605951 	2625738 	2674747 	2844395 	2902761 	3005269 	3055606 	3193127 	2871033 	2877006 	3776723 	3962026 	4441635 
A,DOM,DEG2,I551-I553,NR,DE40	2605951 	2625738 	2674747 	2844395 	2902761 	3005269 	3055606 	3193127 	2871033 	2877006 	3776723 	3962026 	4441635 
A,DOM,DEG2,I551-I553,NR,DE5	: 	: 	: @C	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,DEG2,I551-I553,NR,DE50	: 	: 	: @C	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,DEG2,I551-I553,NR,DE6	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,DEG2,I551-I553,NR,DE60	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,DEG2,I551-I553,NR,DE7	6791806 	6782698 	6879863 	6979416 	7081862 	7337303 	7291374 	7329139 	3816887 	3916944 	5876314 	6407422 	6710195 
A,DOM,DEG2,I551-I553,NR,DE71	4661603 	4682586 	4773482 	4870393 	4940090 	5112678 	5110764 	5113349 	2464926 	2526584 	3864330 	4238686 	4044391 
A,DOM,DEG2,I551-I553,NR,DE72	605022 	604374 	605697 	628951 	622835 	647407 	649880 	631026 	457512 	462450 	693432 	753067 	1267254 
A,DOM,DEG2,I551-I553,NR,DE73	1525181 	1495738 	1500684 	1480072 	1518937 	1577218 	1530730 	1584764 	894449 	927910 	1318552 	1415669 	1398550 
A,DOM,DEG2,I551-I553,NR,DE8	5451824 	5486790 	5457625 	5472911 	5643773 	5639352 	5941171 	6992644 	5538630 	5412860 	6868262 	6873289 	7857105 
A,DOM,DEG2,I551-I553,NR,DE80	5451824 	5486790 	5457625 	5472911 	5643773 	5639352 	5941171 	6992644 	5538630 	5412860 	6868262 	6873289 	7857105 
A,DOM,DEG2,I551-I553,NR,DE9	12983500 	12826530 	13214847 	13379187 	14168469 	14501538 	15271226 	15840953 	10685595 	11359044 	15062418 	15500885 	16699001 
A,DOM,DEG2,I551-I553,NR,DE91	1948326 	1926076 	2027433 	2058909 	2228834 	2215378 	2306177 	2452201 	1693681 	1683777 	2348443 	2519739 	2799805 
A,DOM,DEG2,I551-I553,NR,DE92	1875880 	1803741 	1837402 	1869919 	1958161 	2023585 	2141442 	2228232 	1324328 	1370922 	1865305 	2005950 	2034070 
A,DOM,DEG2,I551-I553,NR,DE93	3780398 	3675329 	3725629 	3809063 	3959880 	4026471 	4270387 	4401642 	3180085 	3506141 	4458753 	4511204 	4885415 
A,DOM,DEG2,I551-I553,NR,DE94	5378896 	5421384 	5624383 	5641296 	6021594 	6236104 	6553220 	6758878 	4487501 	4798204 	6389917 	6463992 	6979711 
A,DOM,DEG2,I551-I553,NR,DEA	8716497 	8738639 	8908081 	9072311 	9261522 	9619807 	9639842 	9884144 	5978906 	6379863 	9387022 	9891933 	9899004 
A,DOM,DEG2,I551-I553,NR,DEA1	1835039 	1838774 	1849210 	1824200 	1861731 	1956364 	1960295 	2048113 	991688 	1040777 	1589340 	1657063 	1731950 
A,DOM,DEG2,I551-I553,NR,DEA2	2202365 	2249285 	2314956 	2437381 	2474792 	2513421 	2545351 	2597275 	1385149 	1424090 	2239815 	2363981 	2312911 
A,DOM,DEG2,I551-I553,NR,DEA3	1303424 	1315238 	1358666 	1443706 	1482780 	1552217 	1530358 	1532402 	955838 	1143026 	1507293 	1574083 	1726714 
A,DOM,DEG2,I551-I553,NR,DEA4	1706348 	1704007 	1712293 	1740500 	1754919 	1807632 	1803735 	1812874 	1154179 	1201735 	1830224 	1973986 	1849275 
A,DOM,DEG2,I551-I553,NR,DEA5	1669321 	1631335 	1672956 	1626524 	1687300 	1790173 	1800103 	1893480 	1492052 	1570235 	2220350 	2322820 	2278154 
A,DOM,DEG2,I551-I553,NR,DEB	5019699 	5004007 	5064356 	5309683 	5374263 	5555209 	5711760 	5847617 	4067507 	3813793 	5439946 	5758057 	6086153 
A,DOM,DEG2,I551-I553,NR,DEB1	2158228 	2165497 	2193009 	2309882 	2360064 	2439422 	2499313 	2574894 	1672498 	1496589 	2217370 	2361904 	2402738 
A,DOM,DEG2,I551-I553,NR,DEB2	807886 	778490 	822316 	851198 	847702 	869445 	907551 	908869 	743416 	673248 	921489 	955009 	932165 
A,DOM,DEG2,I551-I553,NR,DEB3	2053585 	2060020 	2049031 	2148603 	2166497 	2246342 	2304896 	2363854 	1651593 	1643956 	2301087 	2441144 	2751250 
A,DOM,DEG2,I551-I553,NR,DEC	505724 	520924 	508147 	538010 	550914 	559452 	556450 	589368 	434459 	433738 	653532 	690221 	: @C
A,DOM,DEG2,I551-I553,NR,DEC0	505724 	520924 	508147 	538010 	550914 	559452 	556450 	589368 	434459 	433738 	653532 	690221 	: @C
A,DOM,DEG2,I551-I553,NR,DED	3491841 	3453972 	3658494 	3663340 	3627746 	3680953 	3770032 	3893710 	2387129 	2236786 	3019502 	3169783 	3343621 
A,DOM,DEG2,I551-I553,NR,DED2	1644127 	1666106 	1763833 	1741514 	1753866 	1813742 	1836658 	1918526 	1280179 	1122109 	1435130 	1554461 	1525586 
A,DOM,DEG2,I551-I553,NR,DED4	1323179 	1238115 	1318910 	1306827 	1301977 	1290602 	1335331 	1345305 	755482 	738357 	1076165 	1093831 	1229900 
A,DOM,DEG2,I551-I553,NR,DED5	524535 	549751 	575751 	614999 	571903 	576609 	598043 	629879 	351468 	376320 	508207 	521491 	588135 
A,DOM,DEG2,I551-I553,NR,DEE	2740453 	2673586 	2726374 	2764788 	2912536 	3069908 	3129367 	3532292 	2449150 	2341131 	3269591 	3382709 	3500438 
A,DOM,DEG2,I551-I553,NR,DEE0	2740453 	2673586 	2726374 	2764788 	2912536 	3069908 	3129367 	3532292 	2449150 	2341131 	3269591 	3382709 	3500438 
A,DOM,DEG2,I551-I553,NR,DEF	5419818 	5449970 	5742450 	6015554 	6406033 	7016133 	8763909 	9071388 	9376618 	10168619 	11976447 	11984516 	14040436 
A,DOM,DEG2,I551-I553,NR,DEF0	5419818 	5449970 	5742450 	6015554 	6406033 	7016133 	8763909 	9071388 	9376618 	10168619 	11976447 	11984516 	14040436 
A,DOM,DEG2,I551-I553,NR,DK	2529132 	2578480 	2696889 	2800061 	2880047 	2785202 	2854885 	2853724 	2535993 	2945075 	3173994 	3025803 	2958481 
A,DOM,DEG2,I551-I553,NR,DK0	2529132 	2578480 	2696889 	2800061 	2880047 	2785202 	2854885 	2853724 	2535993 	2945075 	3173994 	3025803 	2958481 
A,DOM,DEG2,I551-I553,NR,DK01	531007 	555287 	588201 	630398 	613631 	622462 	644654 	640338 	526962 	586250 	708002 	714362 	723097 
A,DOM,DEG2,I551-I553,NR,DK02	483505 	484594 	496314 	531945 	548217 	554204 	553563 	554795 	489964 	561960 	591875 	575185 	547579 
A,DOM,DEG2,I551-I553,NR,DK03	1097724 	1130463 	1210957 	1244930 	1292628 	1180047 	1241884 	1252865 	1149097 	1371006 	1392419 	1302227 	1252624 
A,DOM,DEG2,I551-I553,NR,DK04	416896 	408136 	401417 	392788 	425571 	428489 	414784 	405726 	369970 	425859 	481698 	434029 	435181 
A,DOM,DEG2,I551-I553,NR,DK05	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,DEG2,I551-I553,NR,EA	346154352 e	344715688 	347259337 	362948844 	368866098 	409040391 e	419610329 e	431039931 	289599510 e	369646122 	434001215 	463575787 	474516574 
A,DOM,DEG2,I551-I553,NR,EA19	: 	: 	: 	362948844 	368866098 	409040391 e	419610329 e	431039931 	289599510 e	369646122 	434001215 	: 	: 
A,DOM,DEG2,I551-I553,NR,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	436969361 	463575787 	474516574 
A,DOM,DEG2,I551-I553,NR,EE	468179 	524785 	498066 	600089 	624276 	757367 	604484 	655578 	644099 	714927 	775113 	718863 	699223 
A,DOM,DEG2,I551-I553,NR,EE0	468179 	524785 	498066 	600089 	624276 	757367 	604484 	655578 	644099 	714927 	775113 	718863 	699223 
A,DOM,DEG2,I551-I553,NR,EE00	468179 	524785 	498066 	600089 	624276 	757367 	604484 	655578 	644099 	714927 	775113 	718863 	699223 
A,DOM,DEG2,I551-I553,NR,EL	3485151 	3618276 	4183920 	4080169 	4369127 	4343377 	5272958 	5566478 	2748597 	3353432 	4960253 	5349774 	5806192 
A,DOM,DEG2,I551-I553,NR,EL3	223811 	230154 	238855 	238607 	226906 	223198 	224952 	236126 	112730 	154337 	191148 	225734 	238727 
A,DOM,DEG2,I551-I553,NR,EL30	223811 	230154 	238855 	238607 	226906 	223198 	224952 	236126 	112730 	154337 	191148 	225734 	238727 
A,DOM,DEG2,I551-I553,NR,EL4	1394347 	1436901 	1868170 	1758590 	1948149 	1895661 	1987336 	2044380 	916019 	1267313 	1923650 	1772477 	2065280 
A,DOM,DEG2,I551-I553,NR,EL41	167342 	175305 	219242 	210215 	184071 	172784 	290026 	307541 	209659 	221583 	284972 	323959 	317312 
